ID,English,Bodo,Mizo,Category
2424,खांनो,can,thei,Translation
2425,खांनो होयो,could,thei ang,Translation
2426,गोनां,will,ang,Translation
2427,गोनांथि,would,ang,Translation
2428,गोनांथि,shall,tur,Translation
2429,गोनांथि,should,tur,Translation
2430,खांनो,may,thei,Translation
2431,खांनो बाहाय,might,thei ang,Translation
2432,गोनांथि,must,ngei tur,Translation
2433,आं दङ,am,ka ni,Translation
2434,आरो,is,a ni,Translation
2435,आरो,are,an ni,Translation
2436,होनो,was,a ni ta,Translation
2437,होनो,were,an ni ta,Translation
2438,होयायनाय,being,ni mek,Translation
2439,होयो,been,ni ta,Translation
2440,आरो,has,a nei,Translation
2441,होनो आरो,had,a nei ta,Translation
2442,आरोनाय,having,nei mek,Translation
2443,थां,does,a tih,Translation
2444,होनो थां,did,a tih ta,Translation
2445,थां दङ,doing,tih mek,Translation
2446,आरो,and,leh,Translation
2447,बा,or,emaw,Translation
2448,दिनाय,but,mahse,Translation
2449,थांखो,because,chuvang,Translation
2450,थांखो,so,chuvang,Translation
2451,होयो दिनाय,although,mahse,Translation
2452,बेलाथाव,while,hun lai,Translation
2453,बा,if,chu chu,Translation
2454,नाङा होयो,unless,aih lo chu chu,Translation
2455,कारण से,because of,chuvang,Translation
2456,ताकि,in order to,chuvang,Translation
2457,जैसे,as if,ngai thla,Translation
2458,जब तक,as long as,hun lai,Translation
2459,जैसे ही,as soon as,chu chu,Translation
2460,भले ही,even if,chu chu dey,Translation
2461,हालांकि,however,mahse,Translation
2462,इसलिए,therefore,chuvang,Translation
2463,इस प्रकार,thus,chuvang,Translation
2464,इसके अलावा,besides,a thui le,Translation
2465,इसके अलावा,moreover,a thui le,Translation
2466,मावनो,when,engtin,Translation
2467,माबाव,why,engvangin,Translation
2468,जोबोन,how,engtin,Translation
2469,जोबोन नम्बर,how many,engzat,Translation
2470,जोबोन सान,how much,engzat,Translation
2471,अधिक,more,nasa,Translation
2472,कम,less,hlem,Translation
2473,बहुत,many,nasa,Translation
2474,कम,few,hlem,Translation
2475,सब,all,zawng zawng,Translation
2476,कुछ,some,emaw,Translation
2477,कोई नहीं,none,aih,Translation
2478,हर,every,kumsa kumsa,Translation
2479,प्रत्येक,each,kumsa kumsa,Translation
2480,दोनों,both,pahnih,Translation
2481,कोई भी,either,emaw,Translation
2482,न तो,neither,aih loah,Translation
2483,अन्य,other,dang,Translation
2484,और,another,dang,Translation
2485,अं,yes,awle,Translation
2486,नङा,no,aih,Translation
2487,ठीक,ok,ok,Translation
2488,सहमत,agreed,ok ta,Translation
2489,असहमत,disagree,dik lo,Translation
2490,chu,the,बे,Translation
2491,pakhat,a,सै,Translation
2492,pakhat,an,सै,Translation
2493,chungah,in,आव,Translation
2494,chunga,on,आव गुबुन,Translation
2495,ah,at,आव,Translation
2496,ah,to,आव,Translation
2497,ta,of,नि,Translation
2498,atanga,from,नायनो,Translation
2499,nen,with,लानो,Translation
2500,telin,without,बानाय,Translation
2501,hmangin,by,जों,Translation
2502,chung ah,into,आव गोजौथिनो,Translation
2503,a chung,over,मुंथाय,Translation
2504,chhuak,out,सोहाय,Translation
2505,sang,up,मुंथाय,Translation
2506,hniam,down,नामथाय,Translation
2507,eng,about,मा,Translation
2508,inkarah,between,दो आव गुबुनथाव,Translation
2509,khaw chunga,among,गुबुनसोनो,Translation
2510,hmain,before,आगाथाव,Translation
2511,hnua,after,उनाव,Translation
2512,pawnah,around,गुबुनथाय,Translation
2513,kawl tuiloh,outside,बोहाय,Translation
2514,chung ah,inside,आव गोजौथिनो,Translation
2515,a chung,above,मुंथाय,Translation
2516,hniam,below,नामथाय,Translation
2517,inkarah,near,गुबुनथाव,Translation
2518,thang,far,गुर मायनो,Translation
2519,chhuk,left,दिनाय,Translation
2520,dik,right,गोजौ,Translation
2521,taksa,center,बिसार,Translation
2522,kei,I,आं,Translation
2523,nang,you,नं,Translation
2524,ama,he,बि,Translation
2525,ani,she,बि,Translation
2526,chu,it,बे,Translation
2527,kan,we,बे,Translation
2528,anni,they,बिफां,Translation
2529,kei,me,आंनि,Translation
2530,ama,him,बि,Translation
2531,a,her,बिनि,Translation
2532,kan,us,बेनि,Translation
2533,anni,them,बिफांनि,Translation
2534,ka,my,आंनि,Translation
2535,i,your,नंनि,Translation
2536,a,his,बिनि,Translation
2537,a,its,बेनि,Translation
2538,kan,our,बेनि,Translation
2539,an,their,बिफांनि,Translation
2540,tu,who,सोर,Translation
2541,eng,what,मा,Translation
2542,eng nge,which,मो,Translation
2543,tu ta,whose,सोरनि,Translation
2544,ni,be,होयो,Translation
2545,nei,have,आरो,Translation
2546,tih,do,थां,Translation
2547,kal,go,होयो,Translation
2548,lo,come,लाबो,Translation
2549,sawi,say,फार,Translation
2550,siam,make,सिर्गुन,Translation
2551,lo,get,मुंनो,Translation
2552,pe rawh,give,दों,Translation
2553,lo la,take,खाय,Translation
2554,hmu,see,नायदोन,Translation
2555,hrethiam,know,मोजान,Translation
2556,thiam,think,मोनो होयो,Translation
2557,duh,want,गोनांथि,Translation
2558,hman,use,बाहाय,Translation
2559,hmuh rawh,find,खोजो,Translation
2560,thawk,work,गोब थ,Translation
2561,call,call,कॉल,Translation
2562,bei,try,नायदोनाय,Translation
2563,dah,leave,छुट्टी,Translation
2564,siam,put,राखा,Translation
2565,awmzia,mean,मानथाय दङ,Translation
2566,dah,keep,राखा,Translation
2567,thei,let,हायो,Translation
2568,tan,begin,होनना,Translation
2569,tihdam rawh,help,मदद थ,Translation
2570,sawi,talk,फोथाय,Translation
2571,mamawh,need,गोनांथि,Translation
2572,lung,feel,मोनो दङ,Translation
2573,ngaithla,seem,नायदोन दङ,Translation
2574,chhiar,read,पाठ,Translation
2575,ziak,write,लिर,Translation
2576,ngai,listen,नुं,Translation
2577,thusawi,speak,फोथाय,Translation
2578,zir,learn,होनना,Translation
2579,zir,study,होनना,Translation
2580,zirtir hman,teach,उखार,Translation
2581,hawng,open,खुला,Translation
2582,khum rawh,close,बोन,Translation
2583,thu,sit,फुं,Translation
2584,ding,stand,दिंना,Translation
2585,kal,walk,जाबाय,Translation
2586,tlan,run,रेबगोन,Translation
2587,zuang,jump,फार,Translation
2588,kalh rawh,raise,थोन,Translation
2589,hniam rawh,lower,नामथिनो,Translation
2590,draw,draw,गोरसिन,Translation
2591,chhut rawh,calculate,गणना करो,Translation
2592,chinfel rawh,solve,हल करो,Translation
2593,sawifiah rawh,explain,समझाओ,Translation
2594,hriazaih rawh,describe,वर्णन करो,Translation
2595,zirtlai rawh,compare,तुलना करो,Translation
2596,enfin rawh,check,सायगोन,Translation
2597,translate rawh,translate,अनुवाद थ,Translation
2598,spell rawh,spell,स्पेलिंग थ,Translation
2599,sawi dik rawh,pronounce,उच्चार थ,Translation
2600,sign rawh,highlight,चिन्ह थ,Translation
2601,line rawh,underline,रेखा खींचना,Translation
2602,thiangvawl,circle,गोल,Translation
2603,sign rawh,tick,निशान लगाना,Translation
2604,kawng rawh,cross,खींचना,Translation
2605,sign rawh,mark,निशान लगाना,Translation
2606,pe rawh,submit,सुपुर्द करना,Translation
2607,hmun hnuai rawh,lead,आगे बढना,Translation
2608,hnua a kal rawh,follow,पीछे चलना,Translation
2609,sem rawh,share,साझा करो,Translation
2610,chhap rawh,stop,रुकना,Translation
2611,tan rawh,start,शुरू करना,Translation
2612,khap la rawh,pause,रुकना,Translation
2613,chhung zel rawh,continue,जारी रखना,Translation
2614,zawt rawh,ask,पूछना,Translation
2615,chhan,answer,जवाब,Translation
2616,ngai thil takin,listen carefully,ध्यान से सुनना,Translation
2617,ngaithla rawh,pay attention,ध्यान देना,Translation
2618,nawn rawh,repeat,दोहराना,Translation
2619,chhiar rawh,read aloud,जोर से पढना,Translation
2620,dâwiin chhiar rawh,silent reading,चुप पढना,Translation
2621,group thawk rawh,group work,समूह में काम,Translation
2622,paihra thawk rawh,pair work,जोड़ी में काम,Translation
2623,project thawk rawh,project work,परियोजना काम,Translation
2624,tho rawh,wake up,जाग जाना,Translation
2625,thawk rawh,get up,उठ जाना,Translation
2626,mut rawh,sleep,सोना,Translation
2627,chaw siam,cook,पकाना,Translation
2628,order,order,ऑर्डर,Translation
2629,la,buy,खरीदना,Translation
2630,thleng,sell,बेचना,Translation
2631,sum pe,pay,भुगतान,Translation
2632,download,download,डाउनलोड,Translation
2633,upload,upload,अपलोड,Translation
2634,dah rawh,save,सहेजो,Translation
2635,tih dah rawh,delete,हटाओ,Translation
2636,copy siam rawh,copy,नकल करो,Translation
2637,paste siam rawh,paste,चिपकाओ,Translation
2638,install,install,स्थापित,Translation
2639,login,login,लॉगिन,Translation
2640,logout,logout,लॉगआउट,Translation
2641,register,register,पंजीकरण,Translation
2642,hun siam,schedule,समय सारणी,Translation
2643,lo rawh,attend,उपस्थित होना,Translation
2644,lo,arrive,आना,Translation
2645,kal,depart,जाना,Translation
2646,i,stay,ठहरना,Translation
2647,en,visit,दौरा,Translation
2648,kal lo,travel,यात्रा,Translation
2649,tha,good,गोजौ,Translation
2650,tha lo,bad,गोरलाव,Translation
2651,lian,big,गोडां,Translation
2652,te,small,गिदिर,Translation
2653,thar,new,गोनां आव,Translation
2654,ni tang,old,बुजुर्ग,Translation
2655,chak,fast,फोरां,Translation
2656,zawi,slow,लायो,Translation
2657,fiam,easy,सालां,Translation
2658,huna,difficult,नाङथाइ,Translation
2659,lum,hot,गोलाव,Translation
2660,vawt,cold,गान,Translation
2661,lum awl,warm,गोलाव,Translation
2662,vawt awl,cool,गान,Translation
2663,sei,long,जौगा,Translation
